TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-08-01T00:00:00Z,2024-06-13T17:44:18.018000,45546.0,Inmobiliaria,Alquiler,35,35,1,2,NA,Departamento,ARG,250000,250000.0,2619739781,2024-08,1295.36,"c(-58.5915128, -34.5876505)",FALSE,250000,193,7142.86,5.51,7142.86,5.51,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-22T15:52:14.108000,45616.0,Inmobiliaria,Alquiler,32,29,0,1,NA,Departamento,ARG,300000,300000.0,1890162675,2024-08,1295.36,"c(-58.560698, -34.6078534)",FALSE,300000,231.6,9375,7.24,10344.83,7.99,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-12T00:00:00Z,2024-07-21T16:16:07.306000,45524.0,Fsbo,Alquiler,35,34,1,2,NA,Departamento,ARG,280000,280000.0,2708014317,2024-08,1295.36,"c(-58.5625781, -34.6090599)",FALSE,280000,216.16,8000,6.18,8235.29,6.36,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-28T14:34:10.905000,45622.0,Inmobiliaria,Alquiler,30,30,1,2,NA,Departamento,ARG,245000,245000.0,1892897295,2024-08,1295.36,"c(-58.5798667, -34.5812289)",FALSE,245000,189.14,8166.67,6.3,8166.67,6.3,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-09T00:00:00Z,2024-08-06T21:55:03.405000,45600.0,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,315000,315000.0,1883446327,2024-08,1295.36,"c(-58.5664864, -34.6084328)",FALSE,315000,243.18,7000,5.4,7000,5.4,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-13T10:55:03.307000,45607.0,Inmobiliaria,Alquiler,42,37,1,2,NA,Departamento,ARG,350000,350000.0,2763467221,2024-08,1295.36,"c(-58.567646, -34.5997696)",FALSE,350000,270.2,8333.33,6.43,9459.46,7.3,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-11T00:00:00Z,2024-08-08T15:12:25.585000,45602.0,Inmobiliaria,Alquiler,44,40,1,2,NA,Departamento,ARG,350000,350000.0,1884242555,2024-08,1295.36,"c(-58.5399144, -34.599325)",FALSE,350000,270.2,7954.55,6.14,8750,6.76,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-04T00:00:00Z,2024-07-25T09:41:15.174000,45588.0,Inmobiliaria,Alquiler,41,36,1,2,NA,Departamento,ARG,400000,400000.0,2717124349,2024-08,1295.36,"c(-58.5459619, -34.6002744)",FALSE,400000,308.79,9756.1,7.53,11111.11,8.58,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-04T00:00:00Z,2024-08-02T18:17:08.571000,45596.0,Inmobiliaria,Alquiler,44,42,1,2,NA,Departamento,ARG,320000,320000.0,2740445777,2024-08,1295.36,"c(-58.5593693, -34.6070059)",FALSE,320000,247.04,7272.73,5.61,7619.05,5.88,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-30T00:00:00Z,2024-08-16T14:07:05.813000,45610.0,Inmobiliaria,Alquiler,36,33,0,1,NA,Departamento,ARG,320000,320000.0,2770213637,2024-08,1295.36,"c(-58.5634847, -34.5992752)",FALSE,320000,247.04,8888.89,6.86,9696.97,7.49,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-19T18:47:21.722000,45613.0,Inmobiliaria,Alquiler,50,42,1,2,NA,Departamento,ARG,350000,350000.0,2775372161,2024-08,1295.36,"c(-58.540131, -34.5996599)",FALSE,350000,270.2,7000,5.4,8333.33,6.43,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-06T00:00:00Z,2024-07-29T16:44:24.642000,45592.0,Inmobiliaria,Alquiler,42,28,1,2,NA,Departamento,ARG,220000,220000.0,1879659855,2024-08,1295.36,"c(-58.5633878, -34.5997864)",FALSE,220000,169.84,5238.1,4.04,7857.14,6.07,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-07T00:00:00Z,2024-07-04T08:12:08.529000,2024-10-03T09:27:30.545000,Inmobiliaria,Alquiler,43,40,1,2,NA,Departamento,ARG,260000,260000.0,2668362313,2024-08,1295.36,"c(-58.5590492, -34.6071587)",FALSE,260000,200.72,6046.51,4.67,6500,5.02,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-08T00:00:00Z,2024-06-15T02:37:44.294000,45547.0,Inmobiliaria,Alquiler,36,33,1,2,NA,Departamento,ARG,270000,270000.0,2623013909,2024-08,1295.36,"c(-58.5632044, -34.6083952)",FALSE,270000,208.44,7500,5.79,8181.82,6.32,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-21T15:02:52.058000,45615.0,Inmobiliaria,Alquiler,43,40,0,1,NA,Departamento,ARG,280000,280000.0,1889650931,2024-08,1295.36,"c(-58.5390124, -34.6455364)",FALSE,280000,216.16,6511.63,5.03,7000,5.4,NA,30,04,06840010,Ciudadela,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-23T14:18:07.232000,45617.0,Inmobiliaria,Alquiler,56,50,1,2,NA,Departamento,ARG,385000,385000.0,1890453987,2024-08,1295.36,"c(-58.5642227, -34.5993108)",FALSE,385000,297.21,6875,5.31,7700,5.94,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-24T00:00:00Z,2024-05-28T01:24:37.156000,2024-08-25T10:48:22.877000,Inmobiliaria,Alquiler,70,70,1,1,NA,Departamento,ARG,350000,350000.0,1858492663,2024-08,1295.36,"c(-58.5645124, -34.607998)",FALSE,350000,270.2,5000,3.86,5000,3.86,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
